date,tn_peak_demand_mw,tn_shortage_at_peak_mw,tn_energy_gwh,t_mean,t_max,t_min,rh_mean,app_t_mean,app_t_max,hours_above_32,cdd,cdd_max,cdd_apparent,thi,dow,is_weekend,is_holiday,day_before_holiday,day_after_holiday,holiday_name,pongal_window,sin1,cos1,sin2,cos2,trend,peak_lag_1,peak_lag_2,peak_lag_3,peak_lag_7,peak_lag_14,peak_lag_364,peak_roll_mean_7,peak_roll_std_7,peak_roll_mean_30,peak_roll_std_30,peak_lag_1_diff,peak_lag_1_vs_week,energy_lag_1,energy_lag_2,energy_lag_7,energy_lag_14,energy_roll_mean_7,energy_roll_std_7,energy_roll_mean_30,energy_roll_std_30,cdd_lag1,cdd_max_lag1,thi_lag1,sr_max_demand_mw_lag1,sr_wind_gwh_lag1,sr_solar_gwh_lag1,sr_peak_shortage_mw_lag1
2013-01-02,11816.0,0.0,247.7,25.484,31.150000000000006,20.756,68.10666666666667,27.716166666666666,33.083999999999996,1.54,0.48400000000000176,6.150000000000006,2.716166666666666,23.55725994666667,2.0,0.0,0.0,0.0,0.0,None,0.0,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451,0.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,
2013-03-31,10042.0,0.0,223.2,30.538416666666667,37.306,25.590000000000003,61.735,33.871916666666664,40.772000000000006,8.5,5.5384166666666665,12.305999999999997,8.871916666666664,27.163011591041666,6.0,1.0,0.0,0.0,0.0,None,0.0,0.9997451236925734,0.022576263041545485,0.04514101777397193,-0.9989806246941579,88.0,,,,,,,,0.0,,0.0,,,,,,,,0.0,,0.0,,,,,,,
2013-04-01,10811.0,0.0,234.4,30.371166666666667,37.346000000000004,24.825999999999997,61.41583333333333,33.44391666666667,40.198,8.86,5.371166666666667,12.346000000000004,8.443916666666667,27.003100097430554,0.0,0.0,0.0,0.0,0.0,None,0.0,0.9999855506507186,0.005375731557583884,0.01075130776352193,-0.9999422030204416,89.0,10042.0,,,,,,,0.0,,0.0,,,223.2,,,,,0.0,,0.0,5.5384166666666665,12.305999999999997,27.163011591041666,28778.0,13.0,0.0,5156.0
2013-04-02,10340.0,0.0,229.4,30.377499999999994,36.792,25.830000000000002,62.34833333333333,33.874583333333334,40.355999999999995,8.32,5.377499999999994,11.792000000000002,8.874583333333334,27.089521143749995,1.0,0.0,0.0,0.0,0.0,None,0.0,0.9999300657962057,-0.011826390691832589,-0.023651127245231586,-0.9997202729664083,90.0,10811.0,10042.0,,,,,,0.0,,0.0,769.0,,234.4,223.2,,,,0.0,,0.0,5.371166666666667,12.346000000000004,27.003100097430554,30828.0,19.0,0.0,5663.0
2013-04-03,10048.0,0.0,224.0,30.36358333333333,36.352000000000004,25.9,61.470000000000006,33.971250000000005,39.782,8.74,5.363583333333331,11.352000000000004,8.971250000000005,27.00185207125,2.0,0.0,0.0,0.0,0.0,None,0.0,0.9995786855478958,-0.029025013321975237,-0.05802556932878035,-0.9983150972033183,91.0,10340.0,10811.0,10042.0,,,,10397.666666666666,387.72971685612816,,0.0,-471.0,,229.4,234.4,,,229.0,5.610704055642216,,0.0,5.377499999999994,11.792000000000002,27.089521143749995,30407.0,15.0,0.0,5792.0
2013-04-04,10837.0,0.0,227.3,30.528833333333335,37.46,24.89,60.79,33.89183333333334,41.006,8.98,5.528833333333335,12.46,8.891833333333338,27.072135280833333,3.0,0.0,0.0,0.0,0.0,None,0.0,0.9989315138848577,-0.046215046983708354,-0.09233133369539123,-0.9957283388645872,92.0,10048.0,10340.0,10811.0,,,,10310.25,361.6484250391992,,0.0,-292.0,,224.0,229.4,,,227.75,5.218875996483024,,0.0,5.363583333333331,11.352000000000004,27.00185207125,28887.0,6.0,0.0,6514.0
2013-04-05,11197.0,0.0,230.2,31.232416666666662,37.976,25.848000000000003,58.67249999999999,34.239916666666666,41.03399999999999,9.739999999999998,6.232416666666662,12.975999999999999,9.239916666666666,27.429117442812494,4.0,0.0,0.0,0.0,0.0,None,0.0,0.9979887423155984,-0.06339140486951038,-0.12652781683868314,-0.9919630595773397,93.0,10837.0,10048.0,10340.0,,,,10415.6,391.89960449074186,,0.0,789.0,,227.3,224.0,,,227.66,4.524157380109584,,0.0,5.528833333333335,12.46,27.072135280833333,30916.0,15.0,0.0,5409.0
2013-04-06,10760.0,0.0,241.3,31.309333333333328,37.634,26.691999999999997,60.29916666666667,34.73283333333333,41.258,8.98,6.309333333333328,12.634,9.732833333333332,27.638938357222216,5.0,1.0,0.0,0.0,0.0,None,0.0,0.9967506498213929,-0.08054900421874167,-0.16057454459499376,-0.9870237158387383,94.0,11197.0,10837.0,10048.0,,,,10545.833333333334,473.9541820331017,,0.0,360.0,,230.2,227.3,,,228.08333333333334,4.177279816659003,,0.0,6.232416666666662,12.975999999999999,27.429117442812494,30563.0,21.0,0.0,5747.0
2013-04-07,10129.0,0.0,227.2,31.516166666666663,37.91799999999999,26.732,60.35333333333333,35.1485,41.844,9.92,6.516166666666663,12.917999999999992,10.148499999999999,27.805678083888886,6.0,1.0,0.0,0.0,0.0,None,0.0,0.9952176027737294,-0.09768276782171598,-0.19443122004766195,-0.9809161537413774,95.0,10760.0,11197.0,10837.0,10042.0,,,10576.42857142857,440.1662023761996,,0.0,-437.0,718.0,241.3,230.2,223.2,,229.97142857142856,6.284561582617708,,0.0,6.309333333333328,12.634,27.638938357222216,30691.0,34.0,0.0,5832.0
2013-04-08,10129.0,0.0,227.8,31.163999999999998,37.438,26.422,60.82499999999999,34.776583333333335,40.908,9.36,6.163999999999998,12.438000000000002,9.776583333333335,27.573532899999996,0.0,0.0,0.0,0.0,0.0,None,0.0,0.9933900548258936,-0.11478762552212701,-0.2280577712215198,-0.9736476020539838,96.0,10129.0,10760.0,11197.0,10811.0,,,10588.857142857143,423.47271796084186,,0.0,-631.0,-682.0,227.2,241.3,234.4,,230.54285714285714,5.723011195416034,,0.0,6.516166666666663,12.917999999999992,27.805678083888886,30510.0,16.0,0.0,4885.0
